dir_name,img_file,bound_left,bound_top,bound_right,bound_bot,pan,roll,tilt,anger,joy,sorrow,surprise,label
170524_0900_101/,G0014449.jpg,2268,971,2328,1042,15.970003128051758,-5.070960998535156,18.017902374267575,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014449.jpg,2651,1422,2746,1532,1.8411157131195068,5.047422409057617,-4.041815757751465,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_0900_101/,G0014449.jpg,2054,982,2110,1048,-11.500919342041016,7.928487300872803,-5.959895610809326,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_0900_101/,G0014450.jpg,3031,1042,3105,1128,15.863605499267578,-2.906636953353882,-0.9853444695472716,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014450.jpg,888,958,978,1062,3.3974368572235107,-4.601720809936523,0.8037277460098267,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_0900_101/,G0014450.jpg,2055,973,2117,1046,-2.20817494392395,4.940135955810547,6.583784580230713,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014450.jpg,2781,867,2833,927,8.994707107543945,0.8000777959823608,12.57054042816162,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014450.jpg,1140,967,1213,1052,20.462087631225586,-14.508501052856445,10.022680282592773,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014450.jpg,2789,978,2853,1053,-14.37970733642578,7.628175258636475,7.196393489837647,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014450.jpg,2270,973,2330,1043,14.110639572143555,-2.893263339996338,12.990886688232422,Likelihood.POSSIBLE,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014450.jpg,1330,1014,1400,1095,30.6685848236084,22.066850662231445,-11.317033767700195,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_0900_101/,G0014450.jpg,2642,1428,2733,1534,6.574745178222656,5.369424343109131,-3.953004121780397,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_0900_101/,G0014450.jpg,2578,881,2636,949,-1.953431487083435,13.797563552856445,11.784150123596193,Likelihood.LIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.POSSIBLE,2
170524_0900_101/,G0014450.jpg,2645,1189,2727,1284,85.2564926147461,13.703959465026855,-21.49374771118164,Likelihood.VERY_UNLIKELY,Likelihood.VERY_LIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014451.jpg,3030,1041,3106,1130,14.949784278869627,-3.4024741649627686,0.3536220490932465,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014451.jpg,3248,1346,3355,1471,18.699357986450195,1.9829665422439573,-7.573135852813723,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014451.jpg,492,992,586,1101,-7.579964637756348,-3.6204712390899663,-2.491626024246216,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_0900_101/,G0014451.jpg,2782,867,2834,927,7.474578857421875,-0.0641113892197609,12.166049003601074,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014451.jpg,2055,967,2117,1039,6.990926742553711,-3.168162107467652,10.0216703414917,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014451.jpg,2786,977,2849,1050,-0.2988017797470093,5.317850112915039,5.572003364562988,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014451.jpg,2273,972,2334,1043,1.8392750024795528,-2.172649383544922,7.363727569580077,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014451.jpg,901,961,989,1064,8.010819435119629,-1.9577771425247192,-8.006958961486816,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014451.jpg,2667,1206,2747,1299,24.02262687683105,12.562946319580078,12.421463012695312,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014451.jpg,3481,885,3553,969,-7.864675521850586,-3.9824755191802974,5.128442764282227,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014451.jpg,2646,1426,2743,1539,-1.4342131614685059,2.732553720474243,0.5572892427444458,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_0900_101/,G0014451.jpg,2578,882,2637,950,1.321342945098877,11.63261890411377,13.923784255981445,Likelihood.LIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.POSSIBLE,2
170524_0900_101/,G0014452.jpg,3260,1366,3366,1489,8.824480056762695,-4.297738552093507,0.6993007659912109,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014452.jpg,491,989,587,1101,-7.6944684982299805,-0.2820144891738892,-1.3784356117248535,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_0900_101/,G0014452.jpg,3033,1043,3108,1129,10.5032958984375,-4.332529544830321,0.32664161920547485,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014452.jpg,2782,867,2834,928,5.529351234436035,2.2809395790100098,13.188265800476074,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014452.jpg,2057,967,2119,1040,8.287722587585451,-6.149157524108888,7.132831573486327,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014452.jpg,2269,972,2332,1046,10.09455680847168,-1.554944634437561,12.641972541809082,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014452.jpg,2785,971,2850,1047,-4.638904094696045,3.4895353317260738,1.6462713479995728,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014452.jpg,667,1219,787,1359,31.208675384521484,-0.907840132713318,-15.082719802856445,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014452.jpg,2643,1426,2732,1530,12.309944152832033,2.976964235305786,-8.731964111328125,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_0900_101/,G0014452.jpg,1332,1018,1401,1099,38.79322052001953,24.426380157470703,-5.108256816864014,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_0900_101/,G0014452.jpg,2654,1176,2755,1293,38.98199844360352,0.41894975304603577,-23.93239402770996,Likelihood.VERY_UNLIKELY,Likelihood.LIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014453.jpg,3263,1363,3371,1490,9.620306968688963,-1.4618430137634275,-7.339053153991699,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014453.jpg,1874,959,1940,1036,6.479514122009277,-0.3307481706142425,-3.408284902572632,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014453.jpg,2787,975,2851,1050,-5.040339946746826,4.67488431930542,6.078732967376709,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014453.jpg,3031,1042,3105,1128,15.700567245483398,-1.9906483888626096,-2.8115222454071045,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014453.jpg,2056,967,2118,1040,10.735563278198242,-6.280167102813723,7.596654415130615,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014453.jpg,2630,1407,2738,1532,3.8943042755126953,0.8630396127700806,-9.809836387634276,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014453.jpg,1332,1005,1412,1098,35.81913757324219,29.069324493408203,-12.9948091506958,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_0900_101/,G0014453.jpg,2268,972,2332,1047,11.833643913269045,-0.7289004921913147,14.307450294494627,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014453.jpg,2664,1191,2753,1294,29.884654998779297,-0.6604428887367249,-10.402523040771484,Likelihood.VERY_UNLIKELY,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014454.jpg,887,957,973,1057,20.430156707763672,-10.151725769042967,3.6534638404846183,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014454.jpg,3031,1042,3107,1131,13.339889526367188,-2.345896482467652,1.0925909280776978,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014454.jpg,3255,1360,3363,1486,8.664163589477539,-5.996155738830566,-7.237297534942628,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014454.jpg,2781,867,2833,927,8.188018798828125,1.8252432346344,11.743700981140135,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014454.jpg,493,994,589,1106,-5.893311500549316,-3.1542515754699707,-1.0733288526535034,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_0900_101/,G0014454.jpg,2585,879,2637,938,10.643414497375488,9.510412216186523,9.382887840270996,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014454.jpg,2784,975,2848,1049,3.970272541046143,4.0732975006103525,2.999086856842041,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014454.jpg,2055,968,2118,1041,11.244912147521973,-9.426366806030273,10.939263343811037,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014454.jpg,2271,972,2333,1043,5.833852767944336,0.12621313333511353,8.309667587280272,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014454.jpg,2625,1400,2737,1529,11.10567855834961,1.022402048110962,-16.87586784362793,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014454.jpg,1872,957,1938,1035,3.760575294494629,-6.449173450469973,-8.607492446899414,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014454.jpg,685,1251,792,1375,16.61387825012207,-1.9843831062316888,0.5771136879920961,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_0900_101/,G0014454.jpg,1159,973,1224,1048,-4.797750949859619,26.56856918334961,-6.8151917457580575,Likelihood.VERY_UNLIKELY,Likelihood.POSSIBLE,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_0900_101/,G0014454.jpg,1326,1013,1402,1102,31.71779060363769,29.342491149902344,-20.34800910949707,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_0900_101/,G0014454.jpg,2669,1198,2752,1295,26.639249801635746,4.052408218383788,-1.2395787239074707,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014455.jpg,499,991,596,1105,-4.885878086090088,-5.26110315322876,-1.792391061782837,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014455.jpg,890,958,975,1057,20.92005157470703,-8.248401641845701,4.977761745452881,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014455.jpg,2056,968,2118,1040,8.791377067565918,-8.374590873718263,6.651420593261719,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014455.jpg,3030,1045,3104,1131,17.970359802246094,-4.140276908874512,3.7011735439300537,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014455.jpg,3252,1359,3362,1486,26.820898056030273,-22.449594497680664,1.7848514318466189,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014455.jpg,2785,974,2848,1048,3.1343514919281006,6.813305377960205,1.0809266567230225,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,3
170524_0900_101/,G0014455.jpg,2270,973,2332,1045,11.49344253540039,-0.5793211460113525,9.93439483642578,Likelihood.POSSIBLE,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014455.jpg,2635,1411,2740,1534,1.5949307680130005,-0.7513092160224915,-4.212672233581543,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014455.jpg,1877,969,1940,1042,4.454920768737793,-5.366718292236328,1.531064748764038,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_0900_101/,G0014455.jpg,1319,988,1403,1086,34.78124237060547,6.936320781707764,5.84345006942749,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014455.jpg,1160,974,1227,1051,-12.56782341003418,21.44259262084961,-2.5809755325317383,Likelihood.VERY_UNLIKELY,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_0900_101/,G0014455.jpg,2587,883,2641,945,57.378662109375,7.1309142112731925,1.0286104679107666,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_0900_101/,G0014455.jpg,2653,1193,2734,1288,71.16020202636719,7.837962627410889,-14.3659029006958,Likelihood.VERY_UNLIKELY,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014456.jpg,894,958,978,1055,16.825836181640625,-7.4852705001831055,1.9211698770523071,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014456.jpg,3249,1351,3358,1478,22.843324661254893,-17.637592315673828,-11.484366416931152,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014456.jpg,2057,968,2119,1039,7.016955852508545,-9.005126953125,4.186854362487793,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014456.jpg,2669,1196,2754,1296,24.868438720703125,2.5199220180511475,-3.891723394393921,Likelihood.VERY_UNLIKELY,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014456.jpg,2268,972,2331,1046,15.213319778442385,-0.9653511643409728,11.42745876312256,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014456.jpg,3033,1045,3106,1129,11.89918327331543,-2.686643362045288,-1.5484322309494019,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,3
170524_0900_101/,G0014456.jpg,2785,971,2849,1046,2.0415086746215816,5.477203369140625,1.802014946937561,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,3
170524_0900_101/,G0014456.jpg,523,1016,608,1114,1.543144941329956,14.139320373535154,-9.171607971191406,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_0900_101/,G0014456.jpg,1320,984,1406,1084,27.87955665588379,2.819255113601685,-2.574681282043457,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014456.jpg,1158,970,1228,1052,-13.844898223876953,19.7050895690918,-1.1981568336486816,Likelihood.VERY_UNLIKELY,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_0900_101/,G0014457.jpg,3235,1355,3346,1483,16.129096984863278,-15.90014934539795,-10.546109199523926,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014457.jpg,888,955,971,1052,17.336341857910153,-14.53138542175293,5.559253692626953,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014457.jpg,3033,1043,3106,1128,11.149188995361328,-2.1672117710113525,-2.787872076034546,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014457.jpg,2058,967,2119,1038,2.9621050357818604,-9.778460502624512,4.374421119689941,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014457.jpg,2580,878,2635,943,19.10832977294922,5.294600963592528,10.180985450744627,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014457.jpg,531,1017,614,1114,7.172841548919678,18.460203170776367,-9.839791297912598,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_0900_101/,G0014457.jpg,2271,974,2333,1046,5.853594779968263,-0.6114979982376099,13.21945571899414,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
